IntervalDate,StartingHeadcount,EndingHeadcount,Transactions,ReqTransactions,EmployeeTransactions,ContractorTransactions
2025-09-30,15078,12962,-2116,-1014,-671,-431
2025-10-31,12962,13072,110,182,-61,-11
2025-11-30,13072,12843,-229,120,-322,-27
2025-12-31,12843,12641,-202,61,-247,-16
2026-01-31,12641,12487,-154,54,-193,-15
2026-02-28,12487,12325,-162,2,-154,-10
2026-03-31,12325,12158,-167,6,-158,-15
2026-04-30,12158,12012,-146,25,-164,-7
2026-05-31,12012,11961,-51,101,-151,-1
2026-06-30,11961,11890,-71,88,-155,-4
2026-07-31,11890,11563,-327,-71,-221,-35
2026-08-31,11563,11194,-369,-27,-295,-47
2026-09-30,11194,10944,-250,-26,-199,-25
2026-10-31,10944,10720,-224,-16,-201,-7
2026-11-30,10720,9352,-1368,-114,-1220,-34
2026-12-31,9352,8545,-807,-34,-744,-29
2027-01-31,8545,7883,-662,-24,-623,-15
2027-02-28,7883,7790,-93,-2,-88,-3
2027-03-31,7790,7697,-93,-6,-86,-1
